name,href,page,physical_damage,min_physical_damage,max_physical_damage,avg_physical_damage,critical_hit_chance,attacks_per_second,requirements,required_level,required_dex,implicit
Crude Claw,Crude_Claw,Claws,4-10,4,10,7.0,5%,1.65,,,,
Pict Claw,Pict_Claw,Claws,4-16,4,16,10.0,5%,1.7,"Level 6 , 14 Dex",6,14,
Wolfbone Claw,Wolfbone_Claw,Claws,7-23,7,23,15.0,5%,1.6,"Level 12 , 24 Dex",12,24,Grants 8 Life per Enemy Hit
Forked Claw,Forked_Claw,Claws,10-26,10,26,18.0,5%,1.55,"Level 16 , 31 Dex",16,31,
Plated Claw,Plated_Claw,Claws,13-31,13,31,22.0,5%,1.6,"Level 22 , 41 Dex",22,41,
Edged Claw,Edged_Claw,Claws,11-38,11,38,24.5,5%,1.7,"Level 28 , 52 Dex",28,52,(15 - 25) % chance to Blind Enemies on hit
Arced Claw,Arced_Claw,Claws,12-46,12,46,29.0,5%,1.65,"Level 33 , 60 Dex",33,60,
Hooked Claw,Hooked_Claw,Claws,16-49,16,49,32.5,5%,1.55,"Level 36 , 65 Dex",36,65,
Razorglass Claw,Razorglass_Claw,Claws,23-54,23,54,38.5,5%,1.6,"Level 45 , 80 Dex",45,80,
Sharktooth Claw,Sharktooth_Claw,Claws,25-52,25,52,38.5,5%,1.7,"Level 49 , 87 Dex",49,87,
Armoured Claw,Armoured_Claw,Claws,27-63,27,63,45.0,5%,1.55,"Level 52 , 92 Dex",52,92,
Piercing Claw,Piercing_Claw,Claws,23-68,23,68,45.5,5%,1.6,"Level 55 , 97 Dex",55,97,
Talon Claw,Talon_Claw,Claws,23-79,23,79,51.0,5%,1.65,"Level 65 , 114 Dex",65,114,
Ethereal Blade,Ethereal_Blade,Daggers,5-10,5,10,7.5,6%,1.5,,,,
Glass Shank,Glass_Shank,Daggers,3-10,3,10,6.5,15%,1.55,,,,
Crone Knife,Crone_Knife,Daggers,4-15,4,15,9.5,15%,1.55,"Level 6 , 9 Dex , 9 Int",6,9,Leeches 4 % of Physical Damage as Mana
Simple Dagger,Simple_Dagger,Daggers,8-19,8,19,13.5,15%,1.55,"Level 12 , 15 Dex , 15 Int",12,15,
Skinning Knife,Skinning_Knife,Daggers,8-22,8,22,15.0,13.5%,1.65,"Level 16 , 19 Dex , 19 Int",16,19,
Moon Dagger,Moon_Dagger,Daggers,,,,,15%,1.55,"Level 20 , 22 Dex , 22 Int",20,22,local weapon implicit hidden % base damage is cold [100]
Engraved Knife,Engraved_Knife,Daggers,11-34,11,34,22.5,13.5%,1.55,"Level 27 , 29 Dex , 29 Int",27,29,
Obsidian Dagger,Obsidian_Dagger,Daggers,13-39,13,39,26.0,15%,1.55,"Level 33 , 34 Dex , 34 Int",33,34,
Bloodletting Dagger,Bloodletting_Dagger,Daggers,18-42,18,42,30.0,15%,1.5,"Level 39 , 39 Dex , 39 Int",39,39,25 % of Spell Mana Cost Converted to Life Cost
Mail Breaker,Mail_Breaker,Daggers,19-44,19,44,31.5,15%,1.5,"Level 45 , 45 Dex , 45 Int",45,45,Breaks (400 - 500) Armour on Critical Hit
Kris Knife,Kris_Knife,Daggers,16-48,16,48,32.0,15%,1.65,"Level 49 , 49 Dex , 49 Int",49,49,
Parrying Dagger,Parrying_Dagger,Daggers,16-55,16,55,35.5,15%,1.55,"Level 52 , 51 Dex , 51 Int",52,51,
Arcane Dirk,Arcane_Dirk,Daggers,22-52,22,52,37.0,15%,1.55,"Level 56 , 55 Dex , 55 Int",56,55,
Cinquedea,Cinquedea,Daggers,21-62,21,62,41.5,15%,1.55,"Level 65 , 63 Dex , 63 Int",65,63,
