id,name,statText,modDescription,type,tier,level,dropChance,valueRange,tags,modFamily,modType,modGroupId,weights,weightSources,category,isCraftable,isEssenceOnly,craftTags,allImplicitTags,addsTags,spawnTags,spawnWeights,applicableItemTypes,source,stats,displayTiers
AdditionalAmmo1,of Shelling,Loads an additional bolt,Loads an additional bolt,suffix,1,55,100,"[1, 1]",['attack'],['AdditionalAmmo'],AdditionalAmmo,AdditionalAmmo1,[250],['krakenbull'],AdditionalAmmo,True,False,['attack'],['attack'],[],"['crossbow', 'default']","[{'tag': 'crossbow', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['crossbows'],AdditionalAmmo1,"[{'id': 'base_number_of_crossbow_bolts', 'max': 1, 'min': 1}]",[1]
AdditionalAmmo2,of Bursting,Loads 2 additional bolts,Loads 2 additional bolts,suffix,1,82,100,"[2, 2]",['attack'],['AdditionalAmmo'],AdditionalAmmo,AdditionalAmmo2,[125],['krakenbull'],AdditionalAmmo,True,False,['attack'],['attack'],[],"['crossbow', 'default']","[{'tag': 'crossbow', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['crossbows'],AdditionalAmmo2,"[{'id': 'base_number_of_crossbow_bolts', 'max': 2, 'min': 2}]",[1]
AdditionalArrowChance1,of Surplus,+(25-50)% Surpassing chance to fire an additional Arrow,+(25-50)% Surpassing chance to fire an additional Arrow,suffix,1,46,100,"[25, 50]",['attack'],['AdditionalArrows'],AdditionalArrows,AdditionalArrowChance1,[400],['krakenbull'],AdditionalArrows,True,False,['attack'],['attack'],[],"['bow', 'default']","[{'tag': 'bow', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['bows'],AdditionalArrowChance1,"[{'id': 'chance_to_fire_1_additional_projectile_%_with_rollover_with_bow_attacks', 'max': 50, 'min': 25}]",[4]
AdditionalArrowChance2,of Splintering,+(75-100)% Surpassing chance to fire an additional Arrow,+(75-100)% Surpassing chance to fire an additional Arrow,suffix,2,55,100,"[75, 100]",['attack'],['AdditionalArrows'],AdditionalArrows,AdditionalArrowChance2,[300],['krakenbull'],AdditionalArrows,True,False,['attack'],['attack'],[],"['bow', 'default']","[{'tag': 'bow', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['bows'],AdditionalArrowChance2,"[{'id': 'chance_to_fire_1_additional_projectile_%_with_rollover_with_bow_attacks', 'max': 100, 'min': 75}]",[3]
AdditionalArrowChance3,of Shards,+(125-150)% Surpassing chance to fire an additional Arrow,+(125-150)% Surpassing chance to fire an additional Arrow,suffix,3,66,100,"[125, 150]",['attack'],['AdditionalArrows'],AdditionalArrows,AdditionalArrowChance3,[200],['krakenbull'],AdditionalArrows,True,False,['attack'],['attack'],[],"['bow', 'default']","[{'tag': 'bow', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['bows'],AdditionalArrowChance3,"[{'id': 'chance_to_fire_1_additional_projectile_%_with_rollover_with_bow_attacks', 'max': 150, 'min': 125}]",[2]
AdditionalArrowChance4,of Many,+(175-200)% Surpassing chance to fire an additional Arrow,+(175-200)% Surpassing chance to fire an additional Arrow,suffix,4,82,100,"[175, 200]",['attack'],['AdditionalArrows'],AdditionalArrows,AdditionalArrowChance4,[125],['krakenbull'],AdditionalArrows,True,False,['attack'],['attack'],[],"['bow', 'default']","[{'tag': 'bow', 'weight': 1}, {'tag': 'default', 'weight': 0}]",['bows'],AdditionalArrowChance4,"[{'id': 'chance_to_fire_1_additional_projectile_%_with_rollover_with_bow_attacks', 'max': 200, 'min': 175}]",[1]
AbyssModCrossbowUlamanPrefixMaximumRangedAttackTotems,Ulaman's,+1 to maximum number of Summoned Ballista Totems,+1 to maximum number of Summoned Ballista Totems,prefix,1,65,100,"[1, 1]","['unveiled_mod', 'ulaman_mod']",['AdditionalBallistaTotem'],AdditionalBallistaTotem,AbyssModCrossbowUlamanPrefixMaximumRangedAttackTotems,[1000],['spawn_weight'],AdditionalBallistaTotem,True,False,"['unveiled_mod', 'ulaman_mod']","['unveiled_mod', 'ulaman_mod']",[],"['crossbow', 'default', 'ulaman_mod']","[{'tag': 'crossbow', 'weight': 1}, {'tag': 'default', 'weight': 0}, {'tag': 'ulaman_mod', 'weight': 1}]",['crossbows'],AbyssModCrossbowUlamanPrefixMaximumRangedAttackTotems,"[{'id': 'additional_ballista_totems_allowed', 'max': 1, 'min': 1}]",[1]
AbyssModStaffAmanamuSuffixBlockChance,of Amanamu,+(12-16)% to Block chance,+(12-16)% to Block chance,suffix,1,65,100,"[12, 16]","['block', 'unveiled_mod', 'amanamu_mod']",['AdditionalBlock'],AdditionalBlock,AbyssModStaffAmanamuSuffixBlockChance,[1000],['spawn_weight'],AdditionalBlock,True,False,"['unveiled_mod', 'amanamu_mod']","['block', 'unveiled_mod', 'amanamu_mod']",[],"['staff', 'default', 'amanamu_mod']","[{'tag': 'staff', 'weight': 1}, {'tag': 'default', 'weight': 0}, {'tag': 'amanamu_mod', 'weight': 1}]",['staves'],AbyssModStaffAmanamuSuffixBlockChance,"[{'id': 'additional_block_%', 'max': 16, 'min': 12}]",[1]
AbyssModQuarterstaffAmanamuSuffixChanceToGenerateAdditionalCombo,of Amanamu,(25-40)% chance to build an additional Combo on Hit,(25-40)% chance to build an additional Combo on Hit,suffix,1,65,100,"[25, 40]","['unveiled_mod', 'amanamu_mod']",['AdditionalComboChance'],AdditionalComboChance,AbyssModQuarterstaffAmanamuSuffixChanceToGenerateAdditionalCombo,[1000],['spawn_weight'],AdditionalComboChance,True,False,"['unveiled_mod', 'amanamu_mod']","['unveiled_mod', 'amanamu_mod']",[],"['warstaff', 'default', 'amanamu_mod']","[{'tag': 'warstaff', 'weight': 1}, {'tag': 'default', 'weight': 0}, {'tag': 'amanamu_mod', 'weight': 1}]",['warstaves'],AbyssModQuarterstaffAmanamuSuffixChanceToGenerateAdditionalCombo,"[{'id': 'additional_combo_gain_chance_%', 'max': 40, 'min': 25}]",[1]
AbyssModQuiverUlamanSuffixChanceForExtraProjectilesWhileMoving,of Ulaman,Projectile Attacks have a (8-12)% chance to fire two additional Projectiles while moving,Projectile Attacks have a (8-12)% chance to fire two additional Projectiles while moving,suffix,1,65,100,"[8, 12]","['unveiled_mod', 'ulaman_mod']",['AdditionalProjectiles'],AdditionalProjectiles,AbyssModQuiverUlamanSuffixChanceForExtraProjectilesWhileMoving,[1000],['spawn_weight'],AdditionalProjectiles,True,False,"['unveiled_mod', 'ulaman_mod']","['unveiled_mod', 'ulaman_mod']",[],"['quiver', 'default', 'ulaman_mod']","[{'tag': 'quiver', 'weight': 1}, {'tag': 'default', 'weight': 0}, {'tag': 'ulaman_mod', 'weight': 1}]",['quivers'],AbyssModQuiverUlamanSuffixChanceForExtraProjectilesWhileMoving,"[{'id': 'projectile_attacks_%_chance_to_fire_2_additional_projectiles_while_moving', 'max': 12, 'min': 8}]",[1]
