id,int_id,name,page_name,main_page,atlas_sub_tree,type,frame,icon,stat_text_raw,stat_text,flavour_text,reminder_text,connections,connection_count,skill_points,weapon_set_points,buff_id,is_in_game,is_atlas_passive,is_keystone,is_notable,is_starting_node,is_multiple_choice,is_multiple_choice_option,is_icon_only,is_jewel_socket,is_attribute,is_free
AtlasAzmeriSpirit2,,Azmeri Spirit Chance,,,Generic,small,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,40% increased chance of Azmeri Spirits,40% increased chance of [[Azmeri Spirit]]s,,,"AtlasAzmeriSpiritNotable2,AtlasAzmeriSpiritNotable16__,AtlasAzmeriSpiritNotable6",3,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasAzmeriSpirit3,,Azmeri Spirit Chance,,,Generic,small,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,40% increased chance of Azmeri Spirits,40% increased chance of [[Azmeri Spirit]]s,,,,0,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasAzmeriSpirit4,,Cleansed Areas: Sacred Spirit Chance,,,Generic,small,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,50% increased chance for Azmeri Spirits in Cleansed Areas to be Sacred Spirits,50% increased chance for [[Azmeri Spirit]]s in [[Cleansed]] Areas to be Sacred Spirits,,,"AtlasAzmeriSpiritNotable12,AtlasCleansedNotable4",2,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasAzmeriSpirit5,,Forest Biome: Azmeri Spirit Chance,,,Generic,small,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,Forest Areas have 60% increased chance to contain Azmeri Spirits,[[Biome|Forest]] Areas have 60% increased chance to contain [[Azmeri Spirit]]s,,,,0,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasAzmeriSpirit6,,Azmeri Spirit Chance,,,Generic,small,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,40% increased chance of Azmeri Spirits,40% increased chance of [[Azmeri Spirit]]s,,,"AtlasAzmeriSpiritNotable9,AtlasAzmeriSpiritNotable11",2,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasAzmeriSpirit7,,Azmeri Spirit Chance,,,Generic,small,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,40% increased chance of Azmeri Spirits,40% increased chance of [[Azmeri Spirit]]s,,,"AtlasAzmeriSpiritNotable10,AtlasAzmeriSpiritNotable13",2,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasAzmeriSpirit8,,Azmeri Spirit Chance,,,Generic,small,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,40% increased chance of Azmeri Spirits,40% increased chance of [[Azmeri Spirit]]s,,,,0,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasAzmeriSpirit9,,Azmeri Spirit Chance,,,Generic,small,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,40% increased chance of Azmeri Spirits,40% increased chance of [[Azmeri Spirit]]s,,,,0,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasAzmeriSpiritEssenceChance,,Essence Chance,,,Generic,small,,File:HarvestNotable4 (AtlasTrees) passive skill icon.png,40% increased chance of Essences,40% increased chance of [[Essence (encounter)|Essences]],,,"AtlasDeadlyBossDropsExtraRandomLineage4,AtlasEssenceNotable1",2,0,0,,true,true,false,false,false,false,false,false,false,false,false
AtlasAzmeriSpiritEssenceNotable,,Burst of Energy,,,Generic,notable,,File:HarvestNotable4 (AtlasTrees) passive skill icon.png,Possessed Essence Monsters release Spirits on death,[[Possessed]] [[Essence (encounter)|Essence]] Monsters release [[Azmerian wisp|Spirits]] on death,,,AtlasEssence7,1,0,0,,true,true,false,true,false,false,false,false,false,false,false
AtlasAzmeriSpiritNotable10,,Quickened Flow,,,Generic,notable,,File:AzmeriSpiritsNode (AtlasTrees) passive skill icon.png,Possessed Monsters have 25% chance to release Spirits on death,[[Possessed]] Monsters have 25% chance to release [[Azmerian wisp|Spirits]] on death,,,"AtlasGenericSmall76,AtlasGenericSmall6,AtlasAzmeriSpirit7",3,0,0,,true,true,false,true,false,false,false,false,false,false,false
