edge_index,from_node,to_node,from_name,to_name
0,root,50459,,RANGER
1,root,47175,,MARAUDER
2,root,50986,,DUELIST
3,root,61525,,TEMPLAR
4,root,54447,,WITCH
5,root,44683,,SIX
6,42761,11335,Oracle,Passive Point
7,42761,21284,Oracle,Life and Mana Regeneration Rate
8,42761,56505,Oracle,Immobilisation Buildup
9,42761,39659,Oracle,Spell Damage
10,42761,25092,Oracle,Critical Damage Bonus on You
11,42761,15275,Oracle,Totem Cast and Attack Speed
12,25092,34313,Critical Damage Bonus on You,The Lesser Harm
13,41311,63633,,
14,63764,33239,,
15,15918,47526,,
16,44889,41311,,
17,63633,2275,,
18,23443,13663,,
19,33239,25881,,
20,23732,63764,,
21,35998,4986,,
22,21974,15918,,
23,47526,46103,,
24,35715,44889,,
25,35715,35998,,
26,35715,23732,,
27,35715,23443,,
28,35715,21974,,
29,11335,5571,Passive Point,The Unseen Path
30,5386,22541,Fire Damage,Heat of the Forge
31,15275,52374,Totem Cast and Attack Speed,Unnamed Heartwood
32,21284,30904,Life and Mana Regeneration Rate,Harmony Within
33,57959,63401,Coal Stoker,Fire Resistance
34,14960,57959,Fire Resistance,Coal Stoker
35,5571,47190,The Unseen Path,Passive Point
36,34313,378,The Lesser Harm,Critical Hit Chance
37,56505,4197,Immobilisation Buildup,Converging Paths
38,39659,37782,Spell Damage,Fateful Vision
39,47236,60298,Melee Damage,Against the Anvil
40,20895,47184,Strength,Living Weapon
41,63401,48537,Fire Resistance,Forged in Flame
42,49380,36659,Armour Break,Imploding Impacts
43,58704,49380,Anvil's Weight,Armour Break
44,38769,58704,Armour Break,Anvil's Weight
45,18585,6127,Armour,Jade Heritage
46,378,55135,Critical Hit Chance,Forced Outcome
47,47190,32905,Passive Point,Entwined Realities
48,5852,20895,Smith of Kitava,Strength
49,5852,47236,Smith of Kitava,Melee Damage
50,5852,5386,Smith of Kitava,Fire Damage
51,5852,14960,Smith of Kitava,Fire Resistance
52,5852,9988,Smith of Kitava,Smith's Masterwork
53,1994,47097,Warcry Speed,Warcaller's Bellow
54,48682,40915,Totem Life,Wooden Wall
55,39411,48682,Answered Call,Totem Life
56,25935,23005,Block Chance,Renly's Training
57,39365,39411,Totem Life,Answered Call
58,9988,20195,Smith's Masterwork,Spiked Plates
59,9988,16276,Smith's Masterwork,Kitavan Imprint
60,9988,60913,Smith's Masterwork,Kitavan Engraving
61,9988,25438,Smith's Masterwork,Heatproofing
62,9988,9997,Smith's Masterwork,Molten Symbol
63,9988,8525,Smith's Masterwork,Leather Bindings
64,9988,13772,Smith's Masterwork,Flowing Metal
65,9988,22908,Smith's Masterwork,Tribute to Utula
66,9988,110,Smith's Masterwork,Internal Layer
67,9988,49340,Smith's Masterwork,Support Straps
68,9988,61039,Smith's Masterwork,Tantalum Alloy
69,9988,64962,Smith's Masterwork,Dedication to Kitava
70,35535,1855,Shaman,Flask Recovery
71,35535,33824,Shaman,Defences
72,35535,61722,Shaman,Elemental Resistances
73,35535,54512,Shaman,Maximum Rage
74,35535,28022,Shaman,Elemental Damage
75,33812,38769,Brute,Armour Break
76,33812,18585,Brute,Armour
77,33812,25935,Brute,Block Chance
78,33812,1994,Brute,Warcry Speed
79,33812,39365,Brute,Totem Life
80,23005,10072,Renly's Training,Block Chance
81,10072,52068,Block Chance,Turtle Charm
82,47628,32191,,
83,62882,9216,,
84,62882,15462,,
85,443,47628,,
86,32191,51455,,
87,49398,62882,,
88,15462,28385,,
89,9216,54063,,
90,21676,2187,,
91,45846,18096,,
92,23641,20211,,
93,26353,443,,
94,26353,21676,,
95,26353,45846,,
96,26353,23641,,
97,26353,49398,,
98,33824,42253,Defences,Wisdom of the Maji
99,54512,56933,Maximum Rage,Druidic Champion
100,58646,46654,Reactive Growth,Elemental Resistances
101,28022,62523,Elemental Damage,Turning of the Seasons
102,61722,58646,Elemental Resistances,Reactive Growth
103,1855,16204,Flask Recovery,Sacred Flow
104,35920,35762,Maximum Rage,Furious Wellspring
