node_key,skill,id,name,type,ascendancy_id,group,orbit,orbit_index,x,y,stats,stat_count,recipe,flavour_text,reminder_text,granted_passive_points,granted_skill_name,granted_skill_type_line,granted_skill_base_type,is_notable,is_keystone,is_mastery,is_jewel_socket,is_ascendancy_start,is_generic_attribute,keystones_in_radius,out,in,edges,icon,active_effect_image,extra_json
root,,,,connector,,0,0,0,,,,0,,,,,,,,,,,,,,,50459|47175|50986|61525|54447|44683,,0|1|2|3|4|5,,,
42761,42761,AscendancyDruid1Start,Oracle,ascendancy_start,Druid1,1,0,0,-22597.4,-2727.53,,0,,,,,,,,,,,,true,,,11335|21284|56505|39659|25092|15275,61525,2797|6|7|8|9|10|11,Art/2DArt/SkillIcons/passives/damage.png,,
25092,25092,AscendancyDruid1Small7,Critical Damage Bonus on You,ascendancy_small,Druid1,2,0,0,-22257.9,-2725.84,Hits against you have 12% reduced [CriticalDamageBonus|Critical Damage Bonus],1,,,,,,,,,,,,,,,34313,42761,10|12,Art/2DArt/SkillIcons/passives/Oracle/OracleNode.png,,
41311,41311,,,ascendancy_small,Templar1,3,6,48,-22983.6,-6094,,0,,,,,,,,,,,,,,,63633,44889,16|13,,,
2275,2275,,,ascendancy_small,Templar1,3,6,36,-22257,-5674.5,,0,,,,,,,,,,,,,,,,63633,17,,,
63764,63764,,,ascendancy_small,Templar1,3,4,52,-22737.5,-6428.75,,0,,,,,,,,,,,,,,,33239,23732,20|14,,,
25881,25881,,,ascendancy_small,Templar1,3,4,34,-22172.2,-6032.91,,0,,,,,,,,,,,,,,,,33239,19,,,
13663,13663,,,ascendancy_small,Templar1,3,7,22,-22382,-6730,,0,,,,,,,,,,,,,,,,23443,18,,,
4986,4986,,,ascendancy_small,Templar1,3,5,50,-22874.3,-6288.79,,0,,,,,,,,,,,,,,,,35998,21,,,
15918,15918,,,ascendancy_small,Templar1,3,6,69,-22474.1,-7323.91,,0,,,,,,,,,,,,,,,47526,21974,22|15,,,
46103,46103,,,ascendancy_small,Templar1,3,6,6,-21837.5,-7240.09,,0,,,,,,,,,,,,,,,,47526,23,,,
44889,44889,,,ascendancy_small,Templar1,3,6,54,-23096,-6513.5,,0,,,,,,,,,,,,,,,41311,35715,24|16,,,
63633,63633,,,ascendancy_small,Templar1,3,6,42,-22676.5,-5786.9,,0,,,,,,,,,,,,,,,2275,41311,13|17,,,
23443,23443,,,ascendancy_small,Templar1,3,4,67,-22463.2,-6955.77,,0,,,,,,,,,,,,,,,13663,35715,27|18,,,
