snapshot_time_utc,league,type,id,name,category,details_id,divine_value,exalted_value,chaos_value,max_volume_currency,max_volume_rate,volume_primary_value,sparkline_total_change
2026-06-03T09:05:01+00:00,Runes of Aldur,Abyss,altered-collarbone,Altered Collarbone,Abyss,altered-collarbone,,0.8156,24.557716,exalted,0.016,39.56,468.2
2026-06-03T09:05:01+00:00,Runes of Aldur,Abyss,amanamus-gaze,Amanamu's Gaze,Abyss,amanamus-gaze,,2.13,64.1343,exalted,0.006126,114.0,133.2
2026-06-03T09:05:01+00:00,Runes of Aldur,Abyss,ancient-collarbone,Ancient Collarbone,Abyss,ancient-collarbone,,5.55,167.1105,divine,0.1803,564.8,191.9
2026-06-03T09:05:01+00:00,Runes of Aldur,Abyss,ancient-jawbone,Ancient Jawbone,Abyss,ancient-jawbone,,4.43,133.38729999999998,exalted,0.002944,1740,516.3
2026-06-03T09:05:01+00:00,Runes of Aldur,Abyss,ancient-rib,Ancient Rib,Abyss,ancient-rib,,1.67,50.283699999999996,exalted,0.007814,854.2,213.8
2026-06-03T09:05:01+00:00,Runes of Aldur,Abyss,gnawed-jawbone,Gnawed Jawbone,Abyss,gnawed-jawbone,,0.009736,0.29315096,exalted,1.34,3.32,-53.85
2026-06-03T09:05:01+00:00,Runes of Aldur,Abyss,preserved-cranium,Preserved Cranium,Abyss,preserved-cranium,,0.2207,6.645277,exalted,0.05914,362.3,308.1
2026-06-03T09:05:01+00:00,Runes of Aldur,Abyss,preserved-jawbone,Preserved Jawbone,Abyss,preserved-jawbone,,0.01532,0.4612852,exalted,0.8519,126.4,-71.38
2026-06-03T09:05:01+00:00,Runes of Aldur,Abyss,tecrods-gaze,Tecrod's Gaze,Abyss,tecrods-gaze,,2.27,68.3497,exalted,0.005754,156.5,434.8
2026-06-03T09:05:01+00:00,Runes of Aldur,Abyss,gnawed-collarbone,Gnawed Collarbone,Abyss,gnawed-collarbone,,0.01717,0.5169887000000001,exalted,0.76,6.47,20.01
2026-06-03T09:05:01+00:00,Runes of Aldur,Abyss,gnawed-rib,Gnawed Rib,Abyss,gnawed-rib,,0.005366,0.16157026,exalted,2.43,2.42,-42.46
2026-06-03T09:05:01+00:00,Runes of Aldur,Abyss,kurgals-gaze,Kurgal's Gaze,Abyss,kurgals-gaze,,2.67,80.3937,exalted,0.004889,29.36,1862
2026-06-03T09:05:01+00:00,Runes of Aldur,Abyss,preserved-collarbone,Preserved Collarbone,Abyss,preserved-collarbone,,0.6251,18.821761,exalted,0.02087,2561,228.3
2026-06-03T09:05:01+00:00,Runes of Aldur,Abyss,preserved-rib,Preserved Rib,Abyss,preserved-rib,,0.09406,2.8321466,exalted,0.1387,1131,-25.54
2026-06-03T09:05:01+00:00,Runes of Aldur,Abyss,ulamans-gaze,Ulaman's Gaze,Abyss,ulamans-gaze,,1.98,59.617799999999995,exalted,0.006602,31.62,2126
