snapshot_time_utc,league,type,id,name,category,details_id,divine_value,exalted_value,chaos_value,max_volume_currency,max_volume_rate,volume_primary_value,sparkline_total_change
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,cat-idol,Cat Idol,Ritual,cat-idol,0.019915799999999997,1.14,1.4706,exalted,0.8779,35.5,14.49
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,bear-idol,Bear Idol,Ritual,bear-idol,0.03511469999999999,2.01,2.5928999999999998,exalted,0.498,296.2,8.16
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,boar-idol,Boar Idol,Ritual,boar-idol,0.0237592,1.36,1.7544000000000002,exalted,0.7352,84.33,29.99
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,idol-of-egrin,Idol of Egrin,Ritual,idol-of-egrin,0.2606524,14.92,19.2468,exalted,0.06701,1346,126.3
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,idol-of-greust,Idol of Greust,Ritual,idol-of-greust,0.07809089999999999,4.47,5.7663,exalted,0.2238,47.67,215.1
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,idol-of-maxarius,Idol of Maxarius,Ritual,idol-of-maxarius,0.0835066,4.78,6.166200000000001,exalted,0.2094,166.3,215.0
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,idol-of-the-martyr,Idol of the Martyr,Ritual,idol-of-the-martyr,0.0321448,1.84,2.3736,exalted,0.5433,34.67,-84.66
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,idol-of-yeena,Idol of Yeena,Ritual,idol-of-yeena,0.0635908,3.64,4.695600000000001,exalted,0.2744,90.5,108.2
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,omen-of-abyssal-echoes,Omen of Abyssal Echoes,Ritual,omen-of-abyssal-echoes,1.3651058,78.14,100.8006,exalted,0.0128,214567,110.2
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,omen-of-dextral-crystallisation,Omen of Dextral Crystallisation,Ritual,omen-of-dextral-crystallisation,0.28773089999999996,16.47,21.246299999999998,exalted,0.06072,8935,-73.58
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,omen-of-gambling,Omen of Gambling,Ritual,omen-of-gambling,0.009059942,0.5186,0.668994,exalted,1.93,153.0,-33.99
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,omen-of-greater-exaltation,Omen of Greater Exaltation,Ritual,omen-of-greater-exaltation,0.07966319999999999,4.56,5.8824,exalted,0.2194,38230,116.4
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,omen-of-light,Omen of Light,Ritual,omen-of-light,3.137612,179.6,231.684,exalted,0.005567,108320,185.2
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,omen-of-sinistral-crystallisation,Omen of Sinistral Crystallisation,Ritual,omen-of-sinistral-crystallisation,0.1570553,8.99,11.597100000000001,exalted,0.1113,3871,-74.87
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,omen-of-sinistral-exaltation,Omen of Sinistral Exaltation,Ritual,omen-of-sinistral-exaltation,0.0455967,2.61,3.3669,exalted,0.3835,4938,-17.68
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,omen-of-sinistral-necromancy,Omen of Sinistral Necromancy,Ritual,omen-of-sinistral-necromancy,0.2122605,12.15,15.6735,exalted,0.08228,36214,-29.72
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,omen-of-the-liege,Omen of the Liege,Ritual,omen-of-the-liege,0.012803763,0.7329,0.945441,exalted,1.36,907.7,-78.38
2026-06-01T08:05:02+00:00,Runes of Aldur,Ritual,primate-idol,Primate Idol,Ritual,primate-idol,0.1408082,8.06,10.397400000000001,exalted,0.124,3733,109.7
