snapshot_time_utc,league,type,id,name,category,details_id,divine_value,exalted_value,chaos_value,max_volume_currency,max_volume_rate,volume_primary_value,sparkline_total_change
2026-06-01T08:05:02+00:00,Runes of Aldur,Runes,adept-rune,Adept Rune,Runes,adept-rune,0.010606036999999999,0.6071,0.7831589999999999,exalted,1.65,2.83,-54.83
2026-06-01T08:05:02+00:00,Runes of Aldur,Runes,aldurs-legacy,Aldur's Legacy,Runes,aldurs-legacy,34.32855,1965.0,2534.85,divine,0.02913,2948,-18.58
2026-06-01T08:05:02+00:00,Runes of Aldur,Runes,ancient-rune-of-animosity,Ancient Rune of Animosity,Runes,ancient-rune-of-animosity,0.01747,1.0,1.29,exalted,1,1.83,0
2026-06-01T08:05:02+00:00,Runes of Aldur,Runes,ancient-rune-of-control,Ancient Rune of Control,Runes,ancient-rune-of-control,0.0193917,1.11,1.4319000000000002,exalted,0.9,6.67,-62.96
2026-06-01T08:05:02+00:00,Runes of Aldur,Runes,ancient-rune-of-decay,Ancient Rune of Decay,Runes,ancient-rune-of-decay,0.0539823,3.09,3.9861,exalted,0.3235,11.33,7.51
2026-06-01T08:05:02+00:00,Runes of Aldur,Runes,ancient-rune-of-detonation,Ancient Rune of Detonation,Runes,ancient-rune-of-detonation,0.0504883,2.89,3.7281000000000004,exalted,0.3455,160.2,-8.46
2026-06-01T08:05:02+00:00,Runes of Aldur,Runes,ancient-rune-of-discovery,Ancient Rune of Discovery,Runes,ancient-rune-of-discovery,0.046994299999999996,2.69,3.4701,exalted,0.3721,7.17,13.16
2026-06-01T08:05:02+00:00,Runes of Aldur,Runes,ancient-rune-of-dueling,Ancient Rune of Dueling,Runes,ancient-rune-of-dueling,0.024982099999999997,1.43,1.8447,exalted,0.7,5.0,2.04
2026-06-01T08:05:02+00:00,Runes of Aldur,Runes,ancient-rune-of-prowess,Ancient Rune of Prowess,Runes,ancient-rune-of-prowess,0.0178194,1.02,1.3158,exalted,0.9791,63.67,-25.74
2026-06-01T08:05:02+00:00,Runes of Aldur,Runes,ancient-rune-of-retaliation,Ancient Rune of Retaliation,Runes,ancient-rune-of-retaliation,0.024457999999999997,1.4,1.8059999999999998,exalted,0.7143,3.5,-30.0
2026-06-01T08:05:02+00:00,Runes of Aldur,Runes,ancient-rune-of-shattering,Ancient Rune of Shattering,Runes,ancient-rune-of-shattering,0.0745969,4.27,5.508299999999999,exalted,0.234,39.17,-31.64
2026-06-01T08:05:02+00:00,Runes of Aldur,Runes,ancient-rune-of-splinters,Ancient Rune of Splinters,Runes,ancient-rune-of-splinters,0.016846321,0.9643,1.2439470000000001,exalted,1.04,40.5,-28.95
2026-06-01T08:05:02+00:00,Runes of Aldur,Runes,ancient-rune-of-the-horde,Ancient Rune of the Horde,Runes,ancient-rune-of-the-horde,0.029349599999999997,1.68,2.1672,exalted,0.5955,51.5,-14.51
2026-06-01T08:05:02+00:00,Runes of Aldur,Runes,ancient-rune-of-the-titan,Ancient Rune of the Titan,Runes,ancient-rune-of-the-titan,0.024807399999999997,1.42,1.8317999999999999,exalted,0.7059,2.83,-50
2026-06-01T08:05:02+00:00,Runes of Aldur,Runes,astrids-creativity,Astrid's Creativity,Runes,astrids-creativity,4.622562,264.6,341.33400000000006,divine,0.2164,6879,362.2
